datetime,americano,americano with milk,cappuccino,cocoa,cortado,espresso,hot chocolate,latte
9/4/2024 11:55,0,1,0,0,0,0,0,0
9/4/2024 12:53,0,0,0,0,0,0,0,1
9/4/2024 13:03,0,0,0,0,0,0,0,1
9/4/2024 13:05,0,1,0,0,0,0,0,0
9/4/2024 18:03,0,0,1,0,0,0,0,0
9/4/2024 19:41,0,1,0,0,0,0,0,0
9/4/2024 21:19,0,0,0,0,0,0,0,1
9/5/2024 9:31,0,1,0,0,0,0,0,0
9/5/2024 10:28,0,1,0,0,0,0,0,0
9/5/2024 11:06,1,0,0,0,0,0,0,0
9/5/2024 14:00,0,0,0,0,0,0,0,1
9/5/2024 15:25,0,0,0,0,0,0,0,1
9/5/2024 16:38,1,0,0,0,0,0,0,0
9/5/2024 16:40,0,1,0,0,0,0,0,0
9/5/2024 17:04,0,0,1,0,0,0,0,0
9/5/2024 17:05,0,0,1,0,0,0,0,0
9/5/2024 20:30,0,0,1,0,0,0,0,0
9/5/2024 20:54,1,0,0,0,0,0,0,0
9/5/2024 20:55,0,0,1,0,0,0,0,0
9/5/2024 21:26,0,1,0,0,0,0,0,0
9/5/2024 21:27,0,1,0,0,0,0,0,0
9/6/2024 8:25,0,0,1,0,0,0,0,0
9/6/2024 8:34,0,0,0,0,0,0,0,1
9/6/2024 8:54,1,0,0,0,0,0,0,0
9/6/2024 9:50,0,0,0,0,0,1,0,0
9/6/2024 9:51,0,0,0,0,0,0,0,1
9/6/2024 10:30,0,0,0,0,0,0,1,0
9/6/2024 11:23,0,0,0,0,0,1,0,0
9/6/2024 11:24,0,0,0,0,0,1,0,0
9/6/2024 20:00,0,0,0,0,0,0,0,1
9/6/2024 21:09,0,0,0,0,0,0,0,1
9/7/2024 8:48,0,0,0,0,0,0,0,1
9/7/2024 9:52,0,0,0,0,1,0,0,0
9/7/2024 9:53,0,0,0,0,1,0,0,0
9/7/2024 9:54,0,0,0,0,1,0,0,0
9/7/2024 9:57,0,1,0,0,0,0,0,0
9/7/2024 9:59,0,1,0,0,0,0,0,0
9/7/2024 10:00,0,0,0,0,1,0,0,0
9/7/2024 10:22,1,0,0,0,0,0,0,0
9/7/2024 10:37,0,0,0,0,0,1,0,0
9/7/2024 10:40,0,0,0,0,0,1,0,0
9/7/2024 10:53,0,0,0,0,0,0,0,1
9/7/2024 11:18,0,1,0,0,0,0,0,0
9/7/2024 11:20,1,0,0,0,0,0,0,0
9/7/2024 11:20,0,0,0,0,0,1,0,0
9/7/2024 15:55,0,0,0,0,0,0,0,1
9/7/2024 16:20,1,0,0,0,0,0,0,0
9/7/2024 16:20,0,0,0,0,0,1,0,0
9/7/2024 19:35,0,0,0,1,0,0,0,0
9/7/2024 19:36,0,0,0,0,0,0,0,1
9/7/2024 19:37,0,0,0,0,0,0,0,1
9/7/2024 20:13,0,0,0,0,0,0,0,1
9/7/2024 20:14,0,0,0,0,0,0,0,1
9/8/2024 8:15,0,0,0,0,1,0,0,0
9/8/2024 9:18,0,0,0,0,1,0,0,0
9/8/2024 9:19,0,0,0,0,1,0,0,0
9/8/2024 10:05,0,0,0,0,1,0,0,0
9/8/2024 12:43,0,0,0,0,1,0,0,0
9/8/2024 20:13,1,0,0,0,0,0,0,0
9/9/2024 7:51,0,0,0,0,0,0,0,1
9/9/2024 7:53,0,0,1,0,0,0,0,0
9/9/2024 7:55,0,1,0,0,0,0,0,0
9/9/2024 7:56,0,0,0,0,0,0,0,1
9/9/2024 9:49,0,0,0,0,0,0,0,1
9/9/2024 9:50,0,0,0,0,0,0,1,0
9/9/2024 9:59,0,0,0,0,0,0,0,1
9/9/2024 11:11,0,1,0,0,0,0,0,0
9/9/2024 11:12,0,1,0,0,0,0,0,0
9/9/2024 11:29,0,0,0,0,0,0,0,1
9/9/2024 12:07,0,0,0,0,0,1,0,0
9/9/2024 15:12,0,0,0,0,0,0,0,1
9/9/2024 15:13,1,0,0,0,0,0,0,0
